"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"TP1404";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1405";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1406";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1407";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1408";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1409";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1410";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1411";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1412";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1413";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1414";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1415";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1416";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1417";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1418";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1419";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1420";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1421";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1422";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1423";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1424";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1425";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1426";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1427";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1428";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1429";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
